# This is a table giving the metadata for the allwise data release,
# in STIL ASCII format, with blank values represented by "---".
#
# Data files matching this format can be found at;
#    http://irsadist.ipac.caltech.edu/wise-allwise/
#
# Metadata was taken from:
#
#    http://irsadist.ipac.caltech.edu/wise-allwise/wise-allwise-cat-schema.txt
#       - column names and types
#
#    http://wise2.ipac.caltech.edu/docs/release/allwise/expsup/sec2_1a.html
#       - column units and nullability
#
# Gordon Richards (Drexel) contributed FITS-friendly (69-character)
# description text for each column culled from the sec2_1a file as well.
#
#
# name            type            unit       hasnull   col1
  w1sigp1         decimal(5,3)    mag        yes       "Std dev of the W1 fluxes measured on the w1m individual frames"
  w1sigp2         decimal(5,3)    mag        yes       "Std dev of the mean of the W1 fluxes (w1magp) "
  w1k             decimal(4,3)    ----       yes       "W1 Stetson K variability index"
  w1ndf           integer         ----       yes       "Number of degrees of freedom in the flux variability chi-square, W1"
  w1mlq           decimal(4,2)    ----       yes       "Probability measure that the source is variable in W1 flux"
  w1mjdmin        decimal(13,8)   ----       yes       "The earliest modified Julian Date (mJD) of the W1 single-exposures"
  w1mjdmax        decimal(13,8)   ----       yes       "The latest modified Julian Date (mJD) of the W1 single-exposures"
  w1mjdmean       decimal(13,8)   ----       yes       "The average modified Julian Date (mJD) of the W1 single-exposures"
  w2magp          decimal(5,3)    mag        yes       "W2 weighted mean profile mag (see expsup/sec2_1a.html for caution)"
  w2sigp1         decimal(5,3)    mag        yes       "Std dev of the W2 fluxes measured on the w1m individual frames"
  w2sigp2         decimal(5,3)    mag        yes       "Std dev of the mean of the W2 fluxes (w2magp) "
  w2k             decimal(4,3)    ----       yes       "W2 Stetson K variability index"
  w2ndf           integer         ----       yes       "Number of degrees of freedom in the flux variability chi-square, W2"
  w2mlq           decimal(4,2)    ----       yes       "Probability measure that the source is variable in W2 flux"
  w2mjdmin        decimal(13,8)   ----       yes       "The earliest modified Julian Date (mJD) of the W2 single-exposures"
  w2mjdmax        decimal(13,8)   ----       yes       "The latest modified Julian Date (mJD) of the W2 single-exposures"
  w2mjdmean       decimal(13,8)   ----       yes       "The average modified Julian Date (mJD) of the W2 single-exposures"
  w3magp          decimal(5,3)    mag        yes       "W3 weighted mean profile mag (see expsup/sec2_1a.html for caution)"
  w3sigp1         decimal(5,3)    mag        yes       "Std dev of the W3 fluxes measured on the w1m individual frames"
  w3sigp2         decimal(5,3)    mag        yes       "Std dev of the mean of the W3 fluxes (w1magp) "
  w3k             decimal(4,3)    ----       yes       "W3 Stetson K variability index"
  w3ndf           integer         ----       yes       "Number of degrees of freedom in the flux variability chi-square, W3"
  w3mlq           decimal(4,2)    ----       yes       "Probability measure that the source is variable in W3 flux"
  w3mjdmin        decimal(13,8)   ----       yes       "The earliest modified Julian Date (mJD) of the W3 single-exposures"
  w3mjdmax        decimal(13,8)   ----       yes       "The latest modified Julian Date (mJD) of the W3 single-exposures"
  w3mjdmean       decimal(13,8)   ----       yes       "The average modified Julian Date (mJD) of the W3 single-exposures"
  w4magp          decimal(5,3)    mag        yes       "W4 weighted mean profile mag (see expsup/sec2_1a.html for caution)"
  w4sigp1         decimal(5,3)    mag        yes       "Std dev of the W4 fluxes measured on the w1m individual frames"
  w4sigp2         decimal(5,3)    mag        yes       "Std dev of the mean of the W4 fluxes (w1magp) "
  w4k             decimal(4,3)    ----       yes       "W4 Stetson K variability index"
  w4ndf           integer         ----       yes       "Number of degrees of freedom in the flux variability chi-square, W4"
  w4mlq           decimal(4,2)    ----       yes       "Probability measure that the source is variable in W4 flux"
  w4mjdmin        decimal(13,8)   ----       yes       "The earliest modified Julian Date (mJD) of the W4 single-exposures"
  w4mjdmax        decimal(13,8)   ----       yes       "The latest modified Julian Date (mJD) of the W4 single-exposures"
  w4mjdmean       decimal(13,8)   ----       yes       "The average modified Julian Date (mJD) of the W4 single-exposures"
  rho12           integer         percent    yes       "Correlation coefficient between the W1 and W2 single-exposure fluxes"
  rho23           integer         percent    yes       "Correlation coefficient between the W2 and W3 single-exposure fluxes"
  rho34           integer         percent    yes       "Correlation coefficient between the W3 and W4 single-exposure fluxes"
  q12             integer         ----       yes       "Correlation significance between W1 and W2"
  q23             integer         ----       yes       "Correlation significance between W2 and W3"
  q34             integer         ----       yes       "Correlation significance between W3 and W4"
  xscprox         decimal(7,2)    arcsec     yes       "2MASS Extended Source Catalog (XSC) proximity"
  w1rsemi         decimal(7,2)    arcsec     yes       "Semi-major axis of elliptical aperture used to measure source in W1"
  w1ba            decimal(3,2)    arcsec     yes       "Axis ratio (b/a) of elliptical aperture used to measure source, W1"
  w1pa            decimal(5,2)    deg        yes       "Position angle (deg E of N) of elliptical aperture major axis, W1"
  w1gmag          decimal(5,3)    mag        yes       "W1 magnitude of source measured in the elliptical aperture"
  w1gerr          decimal(4,3)    mag        yes       "Uncertainty in the W1 magnitude measured in elliptical aperture"
  w1gflg          integer         ----       yes       "W1 elliptical aperture measurement quality flag"
  w2rsemi         decimal(7,2)    arcsec     yes       "Semi-major axis of elliptical aperture used to measure source in W2"
  w2ba            decimal(3,2)    arcsec     yes       "Axis ratio (b/a) of elliptical aperture used to measure source, W2"
  w2pa            decimal(5,2)    deg        yes       "Position angle (deg E of N) of elliptical aperture major axis, W2"
  w2gmag          decimal(5,3)    mag        yes       "W2 magnitude of source measured in the elliptical aperture"
  w2gerr          decimal(4,3)    mag        yes       "Uncertainty in the W2 magnitude measured in elliptical aperture"
  w2gflg          integer         ----       yes       "W2 elliptical aperture measurement quality flag"
  w3rsemi         decimal(7,2)    arcsec     yes       "Semi-major axis of elliptical aperture used to measure source in W3"
  w3ba            decimal(3,2)    arcsec     yes       "Axis ratio (b/a) of elliptical aperture used to measure source, W3"
  w3pa            decimal(5,2)    deg        yes       "Position angle (deg E of N) of elliptical aperture major axis, W3"
  w3gmag          decimal(5,3)    mag        yes       "W3 magnitude of source measured in the elliptical aperture"
  w3gerr          decimal(4,3)    mag        yes       "Uncertainty in the W3 magnitude measured in elliptical aperture"
  w3gflg          integer         ----       yes       "W3 elliptical aperture measurement quality flag"
  w4rsemi         decimal(7,2)    arcsec     yes       "Semi-major axis of elliptical aperture used to measure source in W4"
  w4ba            decimal(3,2)    arcsec     yes       "Axis ratio (b/a) of elliptical aperture used to measure source, W4"
  w4pa            decimal(5,2)    deg        yes       "Position angle (deg E of N) of elliptical aperture major axis, W4"
  w4gmag          decimal(5,3)    mag        yes       "W4 magnitude of source measured in the elliptical aperture"
  w4gerr          decimal(4,3)    mag        yes       "Uncertainty in the W4 magnitude measured in elliptical aperture"
  w4gflg          integer         ----       yes       "W4 elliptical aperture measurement quality flag"
  tmass_key       integer         ----       yes       "2MASS PSC association"
  r_2mass         decimal(5,3)    arcsec     yes       "Distance separating the WISE source and associated 2MASS PSC source"
  pa_2mass        decimal(4,1)    deg        yes       "Position angle (degrees E of N) from WISE source to 2MASS PSC source"
  n_2mass         integer         ----       yes       "The number of 2MASS PSC entries found within a 3\" radius of WISE pos"
  j_m_2mass       decimal(5,3)    mag        yes       "2MASS J-band magnitude or magnitude upper limit"
  j_msig_2mass    decimal(4,3)    mag        yes       "2MASS J-band corrected photometric uncertainty"
